28	19	12
29	20	13
32	22	14
33	23	15
42	21	20
44	22	22
45	22	22
45	22	23
46	22	22
46	23	22
47	23	23
48	23	23
49	23	24
49	24	24
49	24	25
50	24	24
50	24	25
51	24	25
51	25	25
51	25	26
52	25	26
52	26	26
53	26	25
53	26	26
53	26	27
54	26	26
54	26	27
54	27	27
55	26	27
55	27	27
55	27	28
56	27	28
56	28	28
56	37	22
57	28	28
57	28	29
57	31	26
57	32	25
57	34	24
57	36	23
57	38	22
58	28	27
58	28	28
58	29	27
58	29	28
58	29	29
58	36	24
58	37	24
59	28	29
59	29	28
59	29	29
59	37	24
60	28	29
60	29	29
60	29	30
60	30	29
60	35	26
60	36	26
61	29	30
61	30	29
61	30	30
61	34	27
61	34	28
62	30	30
62	30	31
62	33	29
62	35	28
63	30	31
63	31	31
63	31	32
63	33	30
64	31	31
64	31	32
64	33	30
65	31	32
65	32	32
65	32	33
66	32	33
